inst m l GREEDY MH GENETIC HYBRID
0 200 15 23651 23608 23660 23608
1 200 15 23734 23734 23853 23734
2 200 15 23296 23288 23296 23285
3 200 15 23394 23345 23508 23345
4 200 15 23330 23320 23330 23320
5 200 15 23938 23909 23913 23909
6 200 15 23478 23469 23553 23469
7 200 15 23691 23570 23583 23570
8 200 15 23493 23457 23457 23457
9 200 15 23547 23547 23626 23547
10 200 15 23818 23818 23848 23818
11 200 15 23450 23391 23395 23391
12 200 15 23460 23442 23442 23442    
13 200 15 23228 23203 23287 23203    
14 200 15 22999 22976 23026 22976    
15 200 15 23408 23371 23371 23371    
16 200 15 23097 23097 23097 23097    
17 200 15 22974 22918 22971 22918    
18 200 15 23495 23360 23360 23360    
19 200 15 23604 23560 23560 23560    
20 200 15 23805 23769 23776 23769    
21 200 15 23691 23691 23723 23691    
22 200 15 23453 23453 23453 23453    
23 200 15 23792 23701 23703 23701    
24 200 15 23642 23562 23562 23562    
25 200 15 23461 23392 23436 23392    
26 200 15 23754 23754 23828 23754    
27 200 15 22849 22822 22822 22822    
28 200 15 23149 23149 23149 23149    
29 200 15 23903 23901 23982 23901    
30 200 15 23852 23756 23761 23756    
31 200 15 23889 23889 23889 23889    
32 200 15 23243 23243 23243 23243    
33 200 15 24134 24051 24117 24051    
34 200 15 23771 23766 23769 23766    
35 200 15 23061 23059 23368 23059    
36 200 15 23851 23851 23944 23851    
37 200 15 23831 23754 23799 23754    
38 200 15 23661 23628 23662 23628    
39 200 15 23630 23612 23616 23549    
40 200 15 23236 23216 23278 23216    
41 200 15 23860 23832 23882 23832    
42 200 15 23487 23487 23500 23487    
43 200 15 23637 23580 23601 23580    
44 200 15 23309 23294 23329 23294    
45 200 15 23157 23157 23401 23157    
46 200 15 23335 23335 23335 23335    
47 200 15 23221 23221 23321 23221    
48 200 15 23444 23444 23691 23444    
49 200 15 23697 23554 23561 23554    
50 200 15 23372 23339 23478 23339    
51 200 15 23577 23554 23554 23554    
52 200 15 24131 24131 24223 24131    
53 200 15 23627 23604 23604 23604    
54 200 15 23283 23242 23403 23242    
55 200 15 23600 23550 23648 23550    
56 200 15 23573 23544 23554 23542    
57 200 15 23995 23949 23975 23949    
58 200 15 23529 23495 23540 23495    
59 200 15 23519 23518 23579 23518    
60 200 15 23439 23388 23469 23388    
61 200 15 23639 23540 23556 23540    
62 200 15 23267 23246 23324 23246    
63 200 15 23554 23539 23581 23539    
64 200 15 23640 23635 23648 23635    
65 200 15 23842 23791 23799 23772    
66 200 15 24052 23986 24015 23986    
67 200 15 23465 23436 23495 23436    
68 200 15 23664 23622 23637 23622    
69 200 15 23347 23303 23396 23303    
70 200 15 23637 23601 23642 23601    
71 200 15 23630 23630 23758 23630    
72 200 15 23421 23421 23421 23421    
73 200 15 23425 23330 23339 23330    
74 200 15 23444 23342 23358 23342    
75 200 15 23503 23475 23487 23475    
76 200 15 23549 23549 23549 23549    
77 200 15 23319 23277 23300 23277    
78 200 15 23679 23679 23735 23679    
79 200 15 23317 23317 23398 23317    
80 200 15 22947 22919 22919 22919    
81 200 15 23480 23448 23542 23448    
82 200 15 23882 23778 23778 23778    
83 200 15 23830 23790 23790 23790    
84 200 15 23450 23436 23478 23436    
85 200 15 23267 23267 23380 23267    
86 200 15 23574 23554 23554 23554    
87 200 15 23235 23222 23235 23222    
88 200 15 23076 23026 23026 23026    
89 200 15 23909 23909 23954 23909    
90 200 15 23474 23465 23448 23429    
91 200 15 23965 23943 23943 23943    
92 200 15 23240 23224 23338 23224    
93 200 15 23498 23498 23498 23498    
94 200 15 23587 23506 23506 23506    
95 200 15 23573 23553 23559 23544    
96 200 15 23457 23391 23452 23391    
97 200 15 23783 23743 23764 23743    
98 200 15 23274 23274 23414 23274    
99 200 15 23550 23483 23546 23483    
0 500 100 2658578 2657900 2740718 2657900          
1 500 100 2654923 2654778 2754079 2654778    
2 500 100 2664414 2663842 2750347 2663842    
3 500 100 2651695 2651644 2742254 2651644     
4 500 100 2675311 2674238 2762588 2674238    
5 500 100 2649576 2649373 2750199 2649373    
6 500 100 2645359 2644867 2740113 2644867    
7 500 100 2647728 2647242 2740867 2647242    
8 500 100 2647725 2647510 2743934 2647510    
9 500 100 2645363 2645008 2739517 2645008    
10 500 100 2665500 2664805 2752290 2664805    
11 500 100 2654315 2653836 2745699 2653836    
12 500 100 2650017 2649832 2735479 2649832    
13 500 100 2662415 2661693 2751707 2661693    
14 500 100 2636329 2636193 2753080 2636193    
15 500 100 2646632 2646384 2739732 2646384    
16 500 100 2661705 2661154 2756452 2661154    
17 500 100 2642893 2642578 2732079 2642642    
18 500 100 2664554 2664355 2751595 2664355    
19 500 100 2637303 2637039 2739324 2637039    
20 500 100 2652898 2652849 2755553 2652849    
21 500 100 2651924 2651243 2744506 2651243    
22 500 100 2658112 2657989 2746114 2657989    
23 500 100 2643978 2643925 2737324 2643925    
24 500 100 2656410 2655921 2749114 2656036    
25 500 100 2659750 2659118 2751626 2659118    
26 500 100 2649110 2649071 2743789 2649071    
27 500 100 2647198 2646718 2727905 2646739    
28 500 100 2661684 2661524 2744242 2661524    
29 500 100 2662486 2662382 2741869 2662382    
30 500 100 2638684 2638684 2733390 2638684    
31 500 100 2648752 2648458 2742504 2648458    
32 500 100 2661251 2661041 2744330 2661041    
33 500 100 2651668 2651166 2744053 2651166    
34 500 100 2650294 2650251 2743866 2650251    
35 500 100 2639179 2638922 2742740 2638922    
36 500 100 2655605 2655017 2723233 2655017    
37 500 100 2652779 2652443 2748225 2652443    
38 500 100 2660477 2660136 2743523 2660136    
39 500 100 2651660 2651369 2749019 2651369    
40 500 100 2650594 2650078 2745451 2650078    
41 500 100 2648022 2647682 2731987 2647682    
42 500 100 2655510 2655062 2739241 2655062    
43 500 100 2652744 2651556 2751221 2651556    
44 500 100 2646368 2646364 2739344 2646364    
45 500 100 2650747 2650291 2754044 2650291    
46 500 100 2660533 2659614 2736921 2659614    
47 500 100 2660938 2660938 2742707 2660393    
48 500 100 2659837 2659782 2756351 2659782    
49 500 100 2643871 2643146 2752817 2643146    
50 500 100 2657395 2657046 2747043 2657046    
51 500 100 2649352 2649307 2733901 2649307    
52 500 100 2648282 2648282 2741663 2648282    
53 500 100 2653209 2652740 2747630 2652785    
54 500 100 2663932 2663887 2750748 2663887    
55 500 100 2653692 2653362 2747429 2653362    
56 500 100 2661962 2661797 2741761 2661797    
57 500 100 2652165 2651794 2750211 2651794    
58 500 100 2647502 2647397 2746510 2647397    
59 500 100 2653376 2652948 2746061 2652948    
60 500 100 2652846 2652525 2739857 2652525    
61 500 100 2648487 2647870 2744926 2647870    
62 500 100 2649251 2648646 2748534 2648643    
63 500 100 2648136 2647568 2743662 2647568    
64 500 100 2654671 2654242 2746279 2654242    
65 500 100 2647871 2647556 2744515 2647556    
66 500 100 2646055 2645946 2745584 2645934    
67 500 100 2651416 2650844 2740355 2650844    
68 500 100 2637069 2636327 2747206 2636327    
69 500 100 2643778 2643610 2737222 2643610    
70 500 100 2649611 2649305 2750961 2649305    
71 500 100 2636071 2635668 2727399 2635668    
72 500 100 2650827 2650500 2744496 2650500    
73 500 100 2655919 2655900 2740130 2655900    
74 500 100 2647302 2646782 2742189 2646782    
75 500 100 2646295 2645723 2740631 2645723    
76 500 100 2647563 2647254 2743124 2647254    
77 500 100 2645012 2644966 2748320 2644966    
78 500 100 2648109 2647875 2740938 2647854    
79 500 100 2652175 2651848 2750288 2651848    
80 500 100 2645065 2644775 2738295 2644775    
81 500 100 2659762 2659327 2749205 2659327    
82 500 100 2663027 2662917 2747504 2662917    
83 500 100 2663133 2663013 2754096 2663013    
84 500 100 2644029 2643804 2745758 2643804    
85 500 100 2648306 2647951 2745757 2647951    
86 500 100 2652335 2651969 2742120 2651969    
87 500 100 2657579 2657168 2745623 2657168    
88 500 100 2642071 2642060 2733745 2642060    
89 500 100 2673009 2672589 2748915 2672589    
90 500 100 2656784 2656634 2749933 2656634    
91 500 100 2660180 2659849 2751608 2659849    
92 500 100 2656845 2656821 2749106 2656812    
93 500 100 2653780 2653543 2733955 2653543    
94 500 100 2644364 2643836 2743579 2643832    
95 500 100 2651783 2651501 2744310 2651501    
96 500 100 2647758 2647525 2748615 2647525    
97 500 100 2659675 2659243 2737083 2659243    
98 500 100 2660256 2660011 2747194 2660011    
99 500 100 2654782 2654258 2746194 2654258    
0 500 300 23763019 23760700 24865454 23760734    
1 500 300 23807336 23806392 24982360 23806392   
2 500 300 23743840 23742131 24986806 23742131   
3 500 300 23791946 23791618 24966482 23791618
4 500 300 23818410 23814465 24910230 23814465 
5 500 300 23776698 23775247 25054081 23775247
6 500 300 23818614 23817296 24923653 23817296
7 500 300 23775323 23774955 24915521 23774943
8 500 300 23806489 23805077 24946499 23805159
9 500 300 23821393 23820307 24918709 23820307
10 500 300 23830447 23830162 25006568 23830162
