inst  m      l     greedy      mh          ag
0     200    15    23651       23608       23660    
1     200    15    23734       23734       23853
2     200    15    23296       23288       23296
3     200    15    23394       23345       23508
4     200    15    23330       23320       23330
5     200    15    23938       23909       23913
6     200    15    23478       23469       23553
7     200    15    23691       23570       23583
8     200    15    23493       23457       23457
9     200    15    23547       23547       23626
10    200    15    23818       23818       23848
11    200    15    23450       23391       23395
12    200    15    23460       23442       23442
13    200    15    23228       23203       23287
14    200    15    22999       22976       23026
15    200    15    23408       23371       23371
16    200    15    23097       23097       23097
17    200    15    22974       22918       22971
18    200    15    23495       23360       23360
19    200    15    23604       23560       23560
20    200    15    23805       23769       23776
21    200    15    23691       23691       23723
22    200    15    23453       23453       23453
23    200    15    23792       23701       23703
24    200    15    23642       23562       23562
25    200    15    23461       23392       23436
26    200    15    23754       23754       23828
27    200    15    22849       22822       22822
28    200    15    23149       23149       23149
29    200    15    23903       23901       23982
30    200    15    23852       23756       23761
31    200    15    23889       23889       23889
32    200    15    23243       23243       23243
33    200    15    24134       24051       24117
34    200    15    23771       23766       23769
35    200    15    23061       23059       23368
36    200    15    23851       23851       23944
37    200    15    23831       23754       23799
38    200    15    23661       23628       23662
39    200    15    23630       23612       23616
40    200    15    23236       23216       23278
41    200    15    23860       23832       23882
42    200    15    23487       23487       23500
43    200    15    23637       23580       23601
44    200    15    23309       23294       23329
45    200    15    23157       23157       23401
46    200    15    23335       23335       23335
47    200    15    23221       23221       23321
48    200    15    23444       23444       23691
49    200    15    23697       23554       23561
50    200    15    23372       23339       23478
51    200    15    23577       23554       23554
52    200    15    24131       24131       24223
53    200    15    23627       23604       23604
54    200    15    23283       23242       23403
55    200    15    23600       23550       23648
56    200    15    23573       23544       23554
57    200    15    23995       23949       23975
58    200    15    23529       23495       23540
59    200    15    23519       23518       23579
60    200    15    23439       23388       23469
61    200    15    23639       23540       23556
62    200    15    23267       23246       23324
63    200    15    23554       23539       23581
64    200    15    23640       23635       23648
65    200    15    23842       23791       23799
66    200    15    24052       23986       24015
67    200    15    23465       23436       23495
68    200    15    23664       23622       23637
69    200    15    23347       23303       23396
70    200    15    23637       23601       23642
71    200    15    23630       23630       23758
72    200    15    23421       23421       23421
73    200    15    23425       23330       23339
74    200    15    23444       23342       23358
75    200    15    23503       23475       23487
76    200    15    23549       23549       23549
77    200    15    23319       23277       23300
78    200    15    23679       23679       23735
79    200    15    23317       23317       23398
80    200    15    22947       22919       22919
81    200    15    23480       23448       23542
82    200    15    23882       23778       23778
83    200    15    23830       23790       23790
84    200    15    23450       23436       23478
85    200    15    23267       23267       23380
86    200    15    23574       23554       23554
87    200    15    23235       23222       23235
88    200    15    23076       23026       23026
89    200    15    23909       23909       23954
90    200    15    23474       23465       23448
91    200    15    23965       23943       23943
92    200    15    23240       23224       23338
93    200    15    23498       23498       23498
94    200    15    23587       23506       23506
95    200    15    23573       23553       23559
96    200    15    23457       23391       23452
97    200    15    23783       23743       23764
98    200    15    23274       23274       23414
